2451230.1465,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451230.275,<13.7,,,Visual,SRX,K,NA,,NA,,No,,P,,,,U Sco
2451231.5,<13.7,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451231.5,<12.8,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451231.50,<13.7,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451231.9667,<14.5,,,Visual,MRV,K,,,,,No,,G,,,,U Sco
2451232.1979,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451232.216,<14.0,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451232.5,<12.8,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451232.9076,<15.4,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451233.48,<14.3,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451233.48,<14.3,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451233.6,<12.8,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451234.54,<14.3,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451234.54,<14.3,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451235.0625,7.7,,,Visual,SQN,GWY,,,,,No,,G,,,,U Sco
2451235.5,8.6,,,Visual,RRZ,,,,,,No,,G,,,,U Sco
2451235.5150,8.5,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451235.576,8.7,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451235.576,8.7,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451235.66,8.6,,,Visual,GUN,,,,,,No,,G,,,,U Sco
2451235.9625,9.1,,,Visual,DKS,BY,,,,,No,,G,,,,U Sco
2451235.9931,9.0,,,Visual,KRB,Y,,,,,No,,G,,,,U Sco
2451236.2111,8.7,,,Visual,SRX,K,NA,,NA,,No,,P,,,,U Sco
2451236.2528,8.7,,,Visual,SRX,K,NA,,NA,,No,,P,,,,U Sco
2451236.2646,9.4,,,Visual,TBX,KS,na,,na,,No,,P,,,,U Sco
2451236.2944,9.2,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451236.3778,9.2,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451236.5330,9.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451236.582,9.0,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451236.582,9.0,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451236.69,9.0,,,Visual,VET,,,,,,No,,G,,,,U Sco
2451236.8556,9.9,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451236.8868,9.9,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451236.9166,<8.0,,,Visual,LX,U,,,,,No,,G,,,,U Sco
2451237.1361,9.9,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451237.2111,10.2,,,Visual,JA,W,,,,,No,,G,,,,U Sco
2451237.232,9.6,,,Visual,CR,KY,,,,,No,,G,,,,U Sco
2451237.2583,9.5,,,Visual,TBX,KS,na,,na,,No,,P,,,,U Sco
2451237.3174,9.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451237.3556,9.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451237.58,10.2,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451237.580,10.2,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451237.5990,9.6,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451237.660,10.0,,,Visual,MUY,Y,,,,,No,,G,,,,U Sco
2451237.7778,10.1,,,Visual,PPB,,,,,,No,,G,,,,U Sco
2451237.9861,10.3,,,Visual,DLA,,,,,,No,,G,,,,U Sco
2451238.1451,10.4,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451238.3438,9.9,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451238.599,10.4,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451238.599,10.4,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451238.6,10.3,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451238.629,10.4,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451238.629,10.4,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451239.1528,10.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451239.3403,10.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451239.3792,10.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451239.70,11.0,,,Visual,OJR,,,,,,No,,G,,,,U Sco
2451239.709,10.7,,,Visual,GRL,LTY,,,,,No,,G,,,,U Sco
2451239.73,10.9,,,Visual,OJR,,,,,,No,,G,,,,U Sco
2451240.2007,11.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451240.3097,11.3,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451240.3729,11.2,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451240.688,11.5,,,Visual,MUY,,,,,,No,,G,,,,U Sco
2451240.9778,11.1,,,Visual,DLA,,,,,,No,,G,,,,U Sco
2451241.0931,11.1,,,Visual,JA,W,,,,,No,,G,,,,U Sco
2451241.276,11.5,,,Visual,CR,Y,,,,,No,,G,,,,U Sco
2451241.3111,11.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451241.3771,11.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451241.4910,11.6,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451241.521,11.4,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451241.521,11.4,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451242.3104,11.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451242.3743,11.7,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451242.5620,11.7,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451242.9007,12.4,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451243.3507,12.1,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451244.2694,12.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451244.3792,12.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451245.3215,12.9,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451245.4840,13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451245.9285,13.1,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451246.2993,13.1,,,Visual,PEX,M,,,,,No,,G,,,,U Sco
2451247.0,<11.3,,,Visual,RR,,,,,,No,,G,,,,U Sco
2451247.3410,13.1,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451247.4,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451247.44,13.3,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451247.440,13.3,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451248.1,13.6,,,Visual,CR,,,,,,No,,G,,,,U Sco
2451248.2986,13.1,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451248.3889,13.3,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451248.8326,13.5,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451248.8743,13.6,,,Visual,KRB,Y,,,,,No,,G,,,,U Sco
2451249.2035,13.6,,,Visual,SRX,KW,NA,,NA,,No,,G,,,,U Sco
2451249.2458,13.6,,,Visual,SRX,KW,NA,,NA,,No,,P,,,,U Sco
2451249.2757,13.7,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451249.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451249.8083,13.8,,,Visual,MOW,,,,,,No,,G,,,,U Sco
2451249.8319,13.7,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451250.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451250.572,14.1,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451250.572,14.1,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451250.674,<12.8,,,Visual,KHL,,,,,,No,,G,,,,U Sco
2451250.8951,13.6,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451251.225,13.7,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451251.3417,13.8,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451251.5,11.3,,,Visual,VGK,BJV,,,,,No,,D,,,,U Sco
2451252.1146,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451252.9382,14.1,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451253.1597,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451253.3229,13.8,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451253.6,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451253.9153,13.9,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451254.2125,14.2,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451254.3444,14.1,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451254.6,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451254.9243,14.0,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451255.0023,13.9,,,Visual,STR,Y,,,,,No,,G,,,,U Sco
2451255.1424,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451255.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451257.1604,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451257.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451257.8229,14.2,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451257.9215,14.3,,,Visual,MRV,Y,,,,,No,,G,,,,U Sco
2451259.1368,<12.6,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451259.3076,14.3,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451261.5729,14.9,,,Unknown,JLT,  CCD,,,,,No,,G,,,,U Sco
2451262.2201,14.4,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451263.1,<15.3,,,Visual,CR,,,,,,No,,D,,,,U Sco
2451263.1382,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451263.3014,14.4,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451263.583,14.2,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451263.583,14.2,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451263.6,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451263.8708,14.2,,,Visual,MOW,,,,,,No,,G,,,,U Sco
2451264.1833,14.3,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451264.3021,14.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451264.8958,14.3,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451264.9236,<13.9,,,Visual,MRV,,,,,,No,,G,,,,U Sco
2451265.2,<13.7,,,Visual,TNX,KW,na,,na,,No,,P,,,,U Sco
2451265.2965,<14.5,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451265.6,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451265.611,14.5,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451265.611,14.5,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451267.3146,<14.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451271.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451272.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451276.3146,<14.0,,,Visual,PEX,,,,,,No,,G,,,,U Sco
2451276.51,<14.3,,,Visual,MLF,,,,,,No,,G,,,,U Sco
2451276.51,<14.3,,,Visual,MWN,K,na,,na,,No,,P,,,,U Sco
2451277.0451,<14.0,,,Visual,SRX,K,NA,,NA,,No,,G,,,,U Sco
2451277.5,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451278.1208,<13.8,,,Visual,SRX,KW,NA,,NA,,No,,P,,,,U Sco
2451278.6,<13.1,,,Visual,OB,,,,,,No,,G,,,,U Sco
2451278.8569,15.9,,,Visual,OCN,,,,,,No,,G,,,,U Sco
2451279.1875,<12.8,,,Visual,JA,,,,,,No,,G,,,,U Sco
2451279.3368,<14.6,,,Visual,PEX,,,,,,No,,G,,,,U Sco
